id,accession_no_csv,object_work_type,title_text
d6fc0e9b-a01c-4204-97f3-9bca34e7f413,2014-00206-010,advertising cards,"Doris Geddes, The Little Shop, Raffles Hotel, Singapore Items Related to Doris Geddes"
bd088422-37b8-45f6-ade2-8645c8d8a871,2014-00206-011,picture postcards,Doris Geddes and models Items Related to Doris Geddes
fe5fdb5a-92e0-4bc6-9993-a5b5faf39636,2014-00206-012,newsletters,Doris Geddes Items Related to Doris Geddes
28c5843e-e97d-4984-a765-5345bfbdf76f,2014-00206-013,newsletters,Doris Geddes Items Related to Doris Geddes
500d3a72-3ef3-4983-aa07-fd1a78196a7f,2014-00206-014,clippings (information artifacts),World Tour of Doris Geddes Items Related to Doris Geddes
7b365c35-df7b-4536-ad2e-e915bd574571,2014-00206-015,black-and-white photographs,Doris Geddes and a child Items Related to Doris Geddes
6f8b633a-8ab0-4a51-86c1-ab999cb2762a,2014-00206-016,black-and-white photographs,Christmas at Raffles Hotel Items Related to Doris Geddes
29d30cc9-4761-46ae-a125-7d35c0575d1d,2014-00206-017,black-and-white photographs,"Celebration of the Opening of the Little Shop, Raffles Hotel, 1947 Items Related to Doris Geddes"
08fdfd4a-8847-4ae0-8d97-c0c260e27791,2014-00206-018,black-and-white photographs,"Doris Geddes' Little Shop, Raffles Hotel, circa 1950 Items Related to Doris Geddes"
f203b52f-308e-4e96-bf6f-c854461cf7cd,2014-00207,matchboxes,Raffles Hotel Raffles Hotel Match Box
087e651b-158c-4e31-ba1b-355502940165,2014-00208,illustrations (layout features),A Room at Raffles Picture of A Room at Raffles
f0abf325-453f-45d7-9ad8-00cce62f992f,2014-00209,inkwells,Inkwell
963ebb13-c836-43b8-8ed0-1f64a1e89da2,2014-00210,paperweights,Three Paperweights
08f3897c-a8e2-4ff7-ba6b-cf95794daf0d,2014-00211,pins (fasteners),Set of Three Photograph Pins
561a04e0-5bda-4a9b-ab37-e75c293e026f,2014-00212,buttons (fasteners),Brass button
a827453b-31f1-4bc0-b088-c8af424c55e4,2014-00228,necklaces,Wedding necklace with flowers and case Wedding necklace with flowers
eef0cb43-da49-4670-8a9e-62ebee39f209,2014-00285,black-and-white photographs colour photographs photograph albums documents (object genre),Photography Album (donation from Anthony Robert Saint Claire)
04facdb6-70e6-4428-a378-913154e999ff,2014-00285-001,photograph albums,Photograph album cover Photography Album (donation from Anthony Robert Saint Claire)
bcc3b9a6-4af8-4fbe-bec2-e18d28fefd81,2014-00285-002,black-and-white photographs,Singapore Harbour Photography Album (donation from Anthony Robert Saint Claire)
d62bd5f5-b2d2-4a51-a2b0-cfd046f3fd48,2014-00285-003,black-and-white photographs,Singapore River Photography Album (donation from Anthony Robert Saint Claire)
7e88e9e1-eb6d-480c-9e9a-648f0352b34e,2014-00285-004,black-and-white photographs,Rows of shophouses Photography Album (donation from Anthony Robert Saint Claire)
3b4a6508-acc2-4e84-938d-b193f034cb17,2014-00285-005,black-and-white photographs,Sailboats and buildings Photography Album (donation from Anthony Robert Saint Claire)
3abf741c-ee02-497d-8dc8-956657dfebe8,2014-00285-006,black-and-white photographs,Commemorative tablet Photography Album (donation from Anthony Robert Saint Claire)
a67ab7f1-7fe5-4cd7-8812-b130db258494,2014-00285-007,black-and-white photographs,Katong (Singapore) Photography Album (donation from Anthony Robert Saint Claire)
0fefb44c-328a-4631-bcdc-2c2ae677ad22,2014-00285-008,black-and-white photographs,"General Post Office Singapore, Anderson Bridge, and Fullerton Buildings Photography Album (donation from Anthony Robert Saint Claire)"
a5df6df3-ead6-4766-81ee-9e5aa939bf04,2014-00285-009,black-and-white photographs,Sultan Mosque of Johor Photography Album (donation from Anthony Robert Saint Claire)
7820af6f-1357-4027-b8b6-7282f1f7ef4b,2014-00285-012,black-and-white photographs,Cathay Building during the Japanese Occupation Photography Album (donation from Anthony Robert Saint Claire)
dd45a5b4-5126-4f4a-9331-208d35cebee9,2014-00285-013,black-and-white photographs,Singapore River and Cavanagh Bridge Photography Album (donation from Anthony Robert Saint Claire)
a2bbcd51-0140-4273-8f06-f9c4a38e8eb4,2014-00285-014,black-and-white photographs,Shackle Club Photography Album (donation from Anthony Robert Saint Claire)
d6e6e468-f88f-441d-bf5b-c0bd6ec1bf66,2014-00285-015,black-and-white photographs,"Harbour Area, Singapore Photography Album (donation from Anthony Robert Saint Claire)"
18c8a817-2a2a-4a7a-965d-cecf34e937f8,2014-00285-016,black-and-white photographs,Kuala Lumpur railway station Photography Album (donation from Anthony Robert Saint Claire)
d216ce66-6512-4318-bd43-c9b18dfcad51,2014-00285-017,black-and-white photographs,Sultan Mosque Photography Album (donation from Anthony Robert Saint Claire)
4fef2634-e57b-4dc9-a893-232efbe854f5,2014-00285-018,black-and-white photographs,"Victoria Memorial Hall, Old Supreme Court, and City Hall Building Photography Album (donation from Anthony Robert Saint Claire)"
0f85b606-cb5c-4be1-8d00-9ccc597a1997,2014-00285-019,colour photographs,Village huts Photography Album (donation from Anthony Robert Saint Claire)
859b4ee8-3763-4632-8512-dc553a343394,2014-00285-020,colour photographs,Thian Hock Keng temple Photography Album (donation from Anthony Robert Saint Claire)
1f730202-06d0-4c75-9de5-a7af9043b52c,2014-00285-021,colour photographs,Waterloo Street Photography Album (donation from Anthony Robert Saint Claire)
7a0cd268-ba92-40d4-a7c0-fccaa22987cc,2014-00285-022,colour photographs,Esplanade / Padang Photography Album (donation from Anthony Robert Saint Claire)
082a3dbf-7c36-4cda-8f2f-27ead864a78f,2014-00285-023,black-and-white photographs,Green groceries Photography Album (donation from Anthony Robert Saint Claire)
f6a700a4-eea2-4595-8b70-2f737a066c99,2014-00285-024,black-and-white photographs,Cathay Building Photography Album (donation from Anthony Robert Saint Claire)
d83b6fa8-55ea-4a20-b42f-48b12b5c93df,2014-00285-025,black-and-white photographs,Old Supreme Court Building Photography Album (donation from Anthony Robert Saint Claire)
ee164652-854b-4a0b-80fa-400cbd32903d,2014-00285-026,black-and-white photographs,Marching to the Municipal Building (City Hall) Photography Album (donation from Anthony Robert Saint Claire)
711718eb-4598-44e1-a480-074f1488eb4a,2014-00285-027,black-and-white photographs,"The Surrender of Singapore, September 1945 Photography Album (donation from Anthony Robert Saint Claire)"
91683f53-e878-4d74-9932-1853bd033ff1,2014-00285-028,black-and-white photographs,Japanese filing out after the signing the surrender Photography Album (donation from Anthony Robert Saint Claire)
284592bf-b7cd-4cd2-9861-39c62a34a2cd,2014-00285-029,black-and-white photographs,Admiral Mountbatten reading the order of the day after the Japanese surrender Photography Album (donation from Anthony Robert Saint Claire)
b5e8a2b0-ec30-48c8-98da-7ecff3f1a782,2014-00285-030,black-and-white photographs,Japanese prisoners of war guarded by an Indian sepoy Photography Album (donation from Anthony Robert Saint Claire)
eda5c692-a8c3-429d-a221-c07c52759e39,2014-00285-031,black-and-white photographs,Japanese prisoners of war doing physical training Photography Album (donation from Anthony Robert Saint Claire)
af981122-d946-4b70-a010-85bd6ac969cb,2014-00285-032,black-and-white photographs,Japanese prisoners of war Photography Album (donation from Anthony Robert Saint Claire)
901ddab2-e469-45e7-97af-12930051d00f,2014-00285-033,black-and-white photographs,Japanese POWs having finished their work Photography Album (donation from Anthony Robert Saint Claire)
8cec3bc6-51af-4a22-bd89-ba30ee846a31,2014-00285-034,black-and-white photographs,Changi Jail Photography Album (donation from Anthony Robert Saint Claire)
fb7788e2-ed98-4f5e-8a29-ed378caddff9,2014-00285-035,colour photographs,Outram Road Jail Photography Album (donation from Anthony Robert Saint Claire)
a77de7fb-7847-4914-b9a0-59b62faa79fe,2014-00285-036,black-and-white photographs,Y.M.C.A. Kempeitai Torture House Photography Album (donation from Anthony Robert Saint Claire)
0e13db2b-0861-4414-a7e5-9495544da588,2014-00285-037,black-and-white photographs,View from Cathay Buildings Photography Album (donation from Anthony Robert Saint Claire)
a89c3e60-02eb-415e-adab-435020ad958c,2014-00285-038,black-and-white photographs,Gari (car) or Ricki (rickshaw) Photography Album (donation from Anthony Robert Saint Claire)
ea6bf503-15c0-4b59-bebf-e331a164a62d,2014-00285-039,black-and-white photographs,Chinatown Photography Album (donation from Anthony Robert Saint Claire)
eedcefd5-2058-4f11-b7af-8ca914e65ddc,2014-00285-040,black-and-white photographs,Cenotaph and Harbour Photography Album (donation from Anthony Robert Saint Claire)
3300e83e-f86d-4782-9656-dc0cbd978a3e,2014-00285-041,black-and-white photographs,Kota Tinggi Waterfall Photography Album (donation from Anthony Robert Saint Claire)
c10fe297-b9f6-48a0-8009-19f9d5215cd4,2014-00285-042,black-and-white photographs,Top view of Kota Tinggi Waterfall Photography Album (donation from Anthony Robert Saint Claire)
f428640c-d2f7-4fa4-8798-9578f4934df8,2014-00285-043,black-and-white photographs,"12 Scotts Road, Our Billett, 1946 Photography Album (donation from Anthony Robert Saint Claire)"
bc935da9-0097-4187-9851-a8f9cf75332a,2014-00285-044,black-and-white photographs,Sjt (Sgt) Grisley-Grey drinking beer from a bottle Photography Album (donation from Anthony Robert Saint Claire)
6503daf5-626f-4d90-a72c-46a54579e86c,2014-00285-045,black-and-white photographs,"Goodwood Park Hotel, Singapore 1946 Photography Album (donation from Anthony Robert Saint Claire)"
b4051dc0-1129-4278-a941-118b8d598ca6,2014-00285-046,black-and-white photographs,"JAG (Judge Advocate General) Office, Goodwood Park Hotel Singapore Photography Album (donation from Anthony Robert Saint Claire)"
9b7b3919-afa9-42d6-837d-1f19733e8b9e,2014-00285-047,black-and-white photographs,Village near Kota Tinggi Photography Album (donation from Anthony Robert Saint Claire)
c0af995a-8d0c-4370-b1e0-b815fce77707,2014-00285-048,black-and-white photographs,Kota Tinggi Waterfall Photography Album (donation from Anthony Robert Saint Claire)
c6a91fae-9a40-4bfb-b805-e70e2a53f6d2,2014-00285-049,black-and-white photographs,Robert Arthur Polglaze and Three Other Military Personnel Photography Album (donation from Anthony Robert Saint Claire)
d98c81ea-68c0-4eca-a321-672b4bb03593,2014-00285-050,black-and-white photographs,"12 Scotts Road, Our Billett, 1946 Photography Album (donation from Anthony Robert Saint Claire)"
6cfdac1b-081a-4bbc-8a9a-1c7484e86a78,2014-00285-051,black-and-white photographs,"12 Scotts Road, Our Billett, 1946 Photography Album (donation from Anthony Robert Saint Claire)"
62fb86cb-3e1b-428d-b3cb-3efd3986062a,2014-00285-052,black-and-white photographs,Boat on a Water beneath the Sky Photography Album (donation from Anthony Robert Saint Claire)
3ae6ed04-c375-4c5c-8ae9-fd0e874058f9,2014-00285-053,black-and-white photographs,Squadron Quartermaster Sergeant (SQMS) Hackshaw and Cpl Walker Photography Album (donation from Anthony Robert Saint Claire)
be31ea8d-cca9-419b-b833-12c9af28a52f,2014-00285-054,colour photographs,Soldiers Looking at Things on the Ground Photography Album (donation from Anthony Robert Saint Claire)
514fcab0-ec8d-4f6b-8048-3888cab83c30,2014-00285-055,black-and-white photographs,Two-way Road Photography Album (donation from Anthony Robert Saint Claire)
a6da580c-efab-4ae8-848c-812052d78ad0,2014-00285-056,black-and-white photographs,R.M.S. (Royal Mail Ship) Andes Photography Album (donation from Anthony Robert Saint Claire)
224932b9-3a5b-487c-9a69-5d2346599779,2014-00285-057,black-and-white photographs,Robert Arthur Polglaze and Two Other Soldiers Photography Album (donation from Anthony Robert Saint Claire)
c2a5a898-2ff9-4ad3-bed0-4077f75eccf0,2014-00285-058,black-and-white photographs,Bob Photography Album (donation from Anthony Robert Saint Claire)
8c4e3d23-f622-4417-9fbd-3fc86ea8dd00,2014-00285-059,black-and-white photographs,Soldier in a military truck Photography Album (donation from Anthony Robert Saint Claire)
365c5e0c-de6d-462f-ba80-24df1fd89e44,2014-00285-060,black-and-white photographs,Soldier in a room Photography Album (donation from Anthony Robert Saint Claire)
471cc03f-3f52-4c39-8495-df03e78cfab7,2014-00285-061,black-and-white photographs,Street Vendors (at dinner) Photography Album (donation from Anthony Robert Saint Claire)
a6cd591e-f7bc-47a0-8dbd-b2055354f41a,2014-00285-062,black-and-white photographs,Chinatown Photography Album (donation from Anthony Robert Saint Claire)
6cdeb991-7dd5-42de-b4a4-3b0cba3080b2,2014-00285-063,black-and-white photographs,Band for a Chinese Funeral (Keep Evil Spirits Away) Photography Album (donation from Anthony Robert Saint Claire)
b252fa51-0c72-41f8-8860-a7daaba6e7bf,2014-00285-064,black-and-white photographs,Chinese General Store Photography Album (donation from Anthony Robert Saint Claire)
2738214f-969a-4f6d-bdc2-5b52a6d45279,2014-00285-065,black-and-white photographs,"Roy, September 1946 at Goodwood Park Hotel Photography Album (donation from Anthony Robert Saint Claire)"
170f7061-ea22-4fe6-a767-caf945461f11,2014-00285-066,black-and-white photographs,Military Personnel Sitting on an Armchair Photography Album (donation from Anthony Robert Saint Claire)
972e7ba1-86d6-4c1e-bd86-bfa3f28408b3,2014-00285-067,black-and-white photographs,Dog belonging to the 'JAG' (Justice Attorney General) branch Photography Album (donation from Anthony Robert Saint Claire)
c61b9e68-5c0e-46e5-8127-0ea04390c655,2014-00285-068,black-and-white photographs,Military Personnel Standing at Ease Photography Album (donation from Anthony Robert Saint Claire)
5c17c423-c835-4cbd-a1c7-84e1dc9c73a6,2014-00285-069,black-and-white photographs,Military Personnel Posing Photography Album (donation from Anthony Robert Saint Claire)
2b8f064a-01cb-4d19-a609-4b93ff925291,2014-00285-070,black-and-white photographs,Military Personnel Posing Photography Album (donation from Anthony Robert Saint Claire)
b1d80e5e-2553-4ce1-b025-cf9d229147fd,2014-00285-071,black-and-white photographs,Chinese Restaurants Photography Album (donation from Anthony Robert Saint Claire)
5d04e062-9e5d-44da-a285-231c511407ee,2014-00285-072,black-and-white photographs,Toddlers at play Photography Album (donation from Anthony Robert Saint Claire)
f83b9041-a2fb-4dd0-8f85-423f7ecf9014,2014-00285-073,black-and-white photographs,Cavenagh Bridge Photography Album (donation from Anthony Robert Saint Claire)
3101b924-2c7f-4b57-a35b-93af65b85600,2014-00285-074,black-and-white photographs,Another View of Chinatown Photography Album (donation from Anthony Robert Saint Claire)
2a898156-489e-4018-88d8-f4e9b84db8b6,2014-00285-075,black-and-white photographs,St. Andrew's Club / Orchard Road Presbyterian Church Photography Album (donation from Anthony Robert Saint Claire)
bc906a4e-9815-4e39-9994-cc45584ce9d7,2014-00285-076,black-and-white photographs,Chinatown Singapore Photography Album (donation from Anthony Robert Saint Claire)
632cc3a3-7307-4134-b2a6-8453e3db5203,2014-00285-077,black-and-white photographs,"Military Personnel Celebrating on New Year's Eve, 1946 Photography Album (donation from Anthony Robert Saint Claire)"
47dd7bb3-9cb6-4b1d-bf03-2a308667284b,2014-00285-078,black-and-white photographs,"Hindu Temple, North Bridge Road Photography Album (donation from Anthony Robert Saint Claire)"
8f699cbd-3677-4ba0-be89-09795b3fbcc0,2014-00285-079,black-and-white photographs,RMS Empress of Australia (1919) Photography Album (donation from Anthony Robert Saint Claire)
8023ae6b-b991-4aad-a934-cd14fdd9cf10,2014-00285-080,black-and-white photographs,Military Personnel Posing with the RMS Empress of Australia (1919) at the background Photography Album (donation from Anthony Robert Saint Claire)
160d0c26-748c-48d3-b5d3-9e19ff892355,2014-00285-10,black-and-white photographs,Malacca Municipal Photography Album (donation from Anthony Robert Saint Claire)
d08a28a1-8bc0-41cb-a54a-4ee26ca7914a,2014-00285-100,black-and-white photographs,Military Personnel and a Dog Photography Album (donation from Anthony Robert Saint Claire)
ee5d3678-7b9d-4fde-9156-e5eca4e41a6d,2014-00285-101,black-and-white photographs,View from the Top of Cathay Buildings Photography Album (donation from Anthony Robert Saint Claire)
82fc8f9e-807b-4d09-82f1-4c675b61abbd,2014-00285-102,black-and-white photographs,Seashore Photography Album (donation from Anthony Robert Saint Claire)
376233f3-6ca6-49ac-a931-2f86ca84059c,2014-00285-103,black-and-white photographs,Two Military Personnel Posing Photography Album (donation from Anthony Robert Saint Claire)
e10c3d0c-82f5-4ace-97be-47764307c258,2014-00285-104,black-and-white photographs,"Cathay Building, Dhobi Ghaut (Dhoby Ghaut), Singapore Photography Album (donation from Anthony Robert Saint Claire)"
93e33fd2-824a-4cc8-91f4-1727ab483408,2014-00285-105,black-and-white photographs,National Museum of Singapore Photography Album (donation from Anthony Robert Saint Claire)
03d48afc-2474-4fe6-b394-ca3ac53eabbe,2014-00285-106,black-and-white photographs,A group of people outside a house Photography Album (donation from Anthony Robert Saint Claire)
899b5f7c-d824-4504-a6fe-5375c9f9c81f,2014-00285-107,black-and-white photographs,Group of Military Personnel Photography Album (donation from Anthony Robert Saint Claire)
44d32a5d-bba3-48a1-9614-004db25431e8,2014-00285-108,black-and-white photographs,"Military and civil clerks of JAG Branch, HQ, ALFSEA Photography Album (donation from Anthony Robert Saint Claire)"
36e9d122-cd9b-40a0-843e-1b32041fbc8c,2014-00285-109,black-and-white photographs,Group of Military Personnel Photography Album (donation from Anthony Robert Saint Claire)
874bfba6-ed79-4ed6-8dd2-880c4d89cdd6,2014-00285-11,black-and-white photographs,Vehicles on the streets and boats on the water Photography Album (donation from Anthony Robert Saint Claire)
1871dc78-934c-4f47-bea6-b2be62198e3c,2014-00285-110,documents (object genre),"Signatures of Military Staff from 'J.A.G' (Justice Attorney General) Branch and HQ Allied Land Forces, SEAC (South East Asia Command), on the 9th of September 1946 Photography Album (donation from Anthony Robert Saint Claire)"
62f0430e-185d-450d-88cf-e6b36f041fc5,2014-00285-81,black-and-white photographs,Military Personnel Posing with a Dog Photography Album (donation from Anthony Robert Saint Claire)
2765932c-10f8-4a75-aeec-dc4db6a77d28,2014-00285-82,black-and-white photographs,Building Photography Album (donation from Anthony Robert Saint Claire)
2da01a8a-05cc-4145-9dbf-3c72b367e65c,2014-00285-83,black-and-white photographs,School Group Photography Photography Album (donation from Anthony Robert Saint Claire)
390f25a6-2ca0-4dfc-b893-e60b651cd2ff,2014-00285-84,black-and-white photographs,People Swimming within a Fenced Area Photography Album (donation from Anthony Robert Saint Claire)
adab33d8-bdcf-48d2-bf60-fcc7ff35ad1d,2014-00285-85,black-and-white photographs,Military Personnel Posing Photography Album (donation from Anthony Robert Saint Claire)
8187b7ba-b24d-4a26-a23e-1d88d8dfcc7b,2014-00285-86,black-and-white photographs,Two Military Personnel Posing Photography Album (donation from Anthony Robert Saint Claire)
c311b618-122c-4c5a-ae28-157437a13d1d,2014-00285-87,black-and-white photographs,Harry Rose Clayton & Pictures of Pin-up Girls Photography Album (donation from Anthony Robert Saint Claire)
71294445-1808-4243-a96a-5b48cf2c52d2,2014-00285-88,black-and-white photographs,Johore Photography Album (donation from Anthony Robert Saint Claire)
fe618cc7-fd80-4834-bd05-1cd178e714a4,2014-00285-89,black-and-white photographs,Jean Hansperry & Eileen Goodall Photography Album (donation from Anthony Robert Saint Claire)
84c2d863-47e4-485c-be11-2d941ce98a3e,2014-00285-90,black-and-white photographs,Group of Military Personnel Photography Album (donation from Anthony Robert Saint Claire)
040ee63b-46dd-47d6-bddc-592125728c37,2014-00285-91,black-and-white photographs,Malayan Jungle Foliage Photography Album (donation from Anthony Robert Saint Claire)
fc4a710b-27be-41c9-91a6-a40ccadfb184,2014-00285-92,black-and-white photographs,Cinema - Changi Photography Album (donation from Anthony Robert Saint Claire)
5dae2178-ed1a-400e-a879-88cd322351cb,2014-00285-93,black-and-white photographs,Snake Charmers (Singapore Pattern) Photography Album (donation from Anthony Robert Saint Claire)
ffccbdc5-03ce-4cfc-b9b4-7c0d9ec1c3c1,2014-00285-94,black-and-white photographs,Group of Military Personnel Photography Album (donation from Anthony Robert Saint Claire)
f513c5f2-9f16-4e24-9ff8-6d368cc16738,2014-00285-95,black-and-white photographs,Military Personnel Posing Photography Album (donation from Anthony Robert Saint Claire)
c0f28c16-4ecd-442b-8089-8a1b067a841a,2014-00285-96,black-and-white photographs,Military Personnel and a Dog Photography Album (donation from Anthony Robert Saint Claire)
0d0dc36c-ffe6-4f62-863e-87ee5cae6686,2014-00285-97,black-and-white photographs,"12 Scotts Road, Our Billett 1946 Photography Album (donation from Anthony Robert Saint Claire)"
036d6693-9e0d-4d64-ba5b-bb17ef6f6fe3,2014-00285-98,black-and-white photographs,Bombay Policeman - Taken at the Red Gate - Bombay Docks Photography Album (donation from Anthony Robert Saint Claire)
dea2d979-9993-4bce-9293-05329e3f797b,2014-00285-99,black-and-white photographs,"Military Personnel on his 21st Birthday, Sitting on a Charpai (Bed) Photography Album (donation from Anthony Robert Saint Claire)"
e71dbb54-7047-4659-abd6-fb87058090b1,2014-00310,toothbrushes,World War II Japanese toothbrush
29aaf59a-72ac-4966-b67a-ca01de404a11,2014-00311,wine bottles,World War II Japanese officer sake bottle
9a83ac0b-f986-4586-9fca-b2c67fc9ae7b,2014-00313,medals,"Japanese Order of the Rising Sun, 8th Class, box, and button Japanese Order of the Rising Sun, 8th Class"
450f99c8-13b8-4bbf-8fe3-76932fa68d93,2014-00322,photographic prints photographs,Being Together (Ho Family / Seattle / Telok Blangah)
c5788f69-47d3-46b5-b101-0519d825e1b4,2014-00323,photographic prints photographs,Being Together (Abdullahsani Family / New York / Woodlands)
0542ebe4-fecb-4253-9977-d511d567ce21,2014-00324,photographic prints photographs,Being Together (Chee Family / Paris / Hougang)
ecd6edc7-6f54-4df7-a69c-c03e09ed3131,2014-00325,photographic prints photographs,Being Together (Choo Family / Marina del Rey / Serangoon
6a0d06fa-e62a-45e8-8c08-001d0e79d161,2014-00326,photographic prints photographs,Being Together (Chang Family / Kawasaki / Hougang)
0bc43453-45a1-4e7c-b2bb-2b62dd5e25e0,2014-00327,photographic prints photographs,Being Together (Ang Family)
fe22babd-22fa-451d-87f5-dc37629045e0,2014-00328,photographic prints photographs,Being Together (Leong Family/Shanghai/Sembawang)
1dd5a06b-7e51-48a9-8eb4-f9301dc46fa3,2014-00329,photographic prints photographs,Being Together (Leong Family / Hong Kong / Ghim Moh)
c3b736d8-79b2-4e8e-aebb-bf76382ee054,2014-00330,photographic prints photographs,Being Together (Goh Family / Bellevue / Bedok)
6e6a078b-c333-4ceb-9858-384e7894254b,2014-00331,photographic prints photographs,Being Together (Chua Family / Seattle / Bishan)
d086acab-ca01-4e87-8398-baee3e570917,2014-00332,photographic prints photographs,Being Together (Lee Family / Tokyo / Punggol)
8aeb624e-e542-40f8-aa2f-4359e6ea83d4,2014-00333,photographic prints photographs,Being Together (Lee Family / New York / Toa Payoh)
f9bc7c61-dc97-45b7-acb9-586b92dde686,2014-00334,photographic prints photographs,Being Together (Krishnan Family / Yokohama / Teban Gardens)
77b5bcaf-fe05-4524-ae00-11818125224d,2014-00335,photographic prints photographs,Being Together (Kan Family / Taipei / Bukit Panjang)
c9e02b96-fda5-40d7-a5ab-fd04aa654eee,2014-00336,photographic prints photographs,Erasure (1)
5f30c6f3-3787-41ae-a649-6baa4b4aac65,2014-00337,photographic prints photographs,Being Together (Yeo Family / New York / Sengkang)
6e90503e-dd6e-4a43-810b-efd1a19e003c,2014-00338,photographic prints photographs,Being Together (Wong Family / New York / Bishan)
5de908f6-801d-4eb5-a432-effc479df669,2014-00339,photographic prints photographs,Being Together (Lim Family / Connecticut / Telok Kurau)
24fc354c-8b89-407f-b2c1-294d962d52be,2014-00340,photographic prints photographs,Being Together (Yeo Family / London / Serangoon)
4d34fdca-e505-4683-a08c-a0518ed5dc19,2014-00341,photographic prints photographs,Being Together (Tye Family / Paris / Tanglin)
8c5e203f-6148-4b36-8f09-94a96c7567df,2014-00342,photographic prints photographs,Being Together (Tay Family / Shanghai / Bukit Batok)
e5011c61-a8fd-4628-8d12-508f13487148,2014-00343,photographic prints photographs,Being Together (Tan Family / Hong Kong /  Tampines)
b1109986-eefd-4d16-be39-dd6b2e032e5b,2014-00344,photographic prints photographs,Being Together (Parents)
c6833cfd-afb6-432e-8edc-bae1ab5d2efe,2014-00345,photographic prints photographs,Erasure (2)
1701a749-3748-40c6-8dd2-aa0fab6214ab,2014-00346,photographic prints photographs,Erasure (3)
cd6d2cdc-429e-4e1e-a995-a286062f6dc3,2014-00347,photographic prints photographs,Erasure (4)
b0c48376-c81e-46f6-9d50-262c973d94e9,2014-00348,rare books,The Port of Singapore The Port of Singapore by G.W.A. Trimmer
0fb2ac69-c03e-4e52-be3e-d69430a59146,2014-00349,plans (maps),Plan of Singapore
1c089c08-020f-4e84-8788-394e22633472,2014-00350,maps (documents),Map of Singapore by Brockhaus
774505f6-e9f4-4085-8d09-0e38e86f612a,2014-00351,prints (visual works),The British entering Singapore after its cession in 1824
dd33837b-1fbb-4e0d-b2fc-7a4885067d00,2014-00352,prints (visual works),Chinese Passengers from Singapore to Hong Kong
f69aea60-df93-4251-b5fc-8ef8b43c0a26,2014-00353,prints (visual works),Capitals of the Empire
a36de7f6-ecdb-4466-9cc6-10fdd3b7f47a,2014-00354,black-and-white photographs,Drying the coffee
7e14c00e-cbef-45bc-bb09-33484768edf4,2014-00355,black-and-white photographs,Atap Palms
5238db5a-d1cd-4ce4-bce5-f176c4e3ffc2,2014-00356,black-and-white photographs,Betelnut Palms
62a1cbc6-421b-4ca0-85e3-ebb056239e20,2014-00357,lithographic engravings (prints),View of the Entrance to New Harbour - Singapore
3186cde2-30f1-4f9f-aefe-b57a1b3e188d,2014-00358,nautical charts,Map of China Sea - Singapore Strait
e2d11efd-f187-46a4-89b3-b5cfd9f4fcae,2014-00359,certificates,International Certificate of Vaccination belonging to Mdm Wong Lai Tuan
